locid,locaddr,loccity,locstate,loczip,locphone,locemail,loclat,loclong
CODEN,4567 Sampson Street,Denver,CO,80202,3036242941,codenwandererz@wand.org,39.796555,-105.006073
COCOS,944 River Road,Colorado Springs,CO,80904,7195102040,cocoswandererz@wand.org,38.838737,-104.841782
KSWIC,419 Williams Lane,Wichita,KS,67216,3165263366,kswicwandererz@wand.org,37.505596,-97.219666
KSTOP,416 Sherman Street,Topeka,KS,66607,7858449264,kstopwandererz@wand.org,38.947559,-95.688904
OKOKC,1263 Benson Park Drive,Oklahoma City,OK,73111,4054249177,okokcwandererz@wand.org,35.424995,-97.445358
OKTUL,174 Hornor Avenue,Tulsa,OK,74146,9187408601,oktulwandererz@wand.org,36.187855,-95.91021
MOJFC,2525 John Daniel Drive,Jefferson City,MO,65101,5732302979,mokfcwandererz@wand.org,38.418991,-92.140068
MOSPR,4126 Chandler Drive,Springfield,MO,65804,4178727782,mosprwandererz@wand.org,37.056866,-93.277657
ARLRK,2779 Masonic Hill Road,Little Rock,AR,72201,501234876,arlrkwandererz@wand.org,34.697697,-92.219749
ARFAY,2057 N Dutton Place,Fayetville,AR,72703,479234736,arfaywandererz@wand.org,36.0627,94.1606
